iter	Passed	Remaining
0	5	5654
1	9	4729
2	14	4745
3	19	4919
4	23	4717
5	26	4467
6	33	4806
7	37	4689
8	41	4599
9	46	4610
10	52	4734
11	56	4672
12	59	4547
13	66	4658
14	69	4581
15	71	4417
16	74	4333
17	81	4463
18	85	4402
19	88	4359
20	94	4388
21	98	4398
22	102	4371
23	106	4320
24	113	4428
25	117	4396
26	121	4363
27	127	4437
28	132	4426
29	135	4391
30	140	4387
31	146	4419
32	149	4393
33	153	4357
34	160	4419
35	164	4396
36	167	4369
37	172	4356
38	177	4382
39	181	4363
40	185	4329
41	192	4401
42	196	4375
43	200	4356
44	207	4409
45	211	4382
46	215	4366
47	219	4345
48	225	4378
49	229	4360
50	233	4339
51	240	4388
52	244	4372
53	248	4348
54	255	4385
55	259	4368
56	262	4349
57	267	4348
58	272	4351
59	276	4336
60	279	4307
61	286	4333
62	290	4317
63	294	4302
64	299	4310
65	304	4310
66	308	4293
67	312	4276
68	319	4304
69	322	4283
70	325	4260
71	327	4224
72	333	4235
73	337	4221
74	341	4211
75	345	4206
76	351	4212
77	355	4197
78	358	4184
79	365	4205
80	369	4190
81	371	4154
82	374	4141
83	380	4149
84	384	4139
85	388	4130
86	391	4113
87	397	4123
88	401	4114
89	404	4086
90	411	4109
91	415	4098
92	419	4088
93	425	4097
94	430	4104
95	434	4095
96	438	4085
97	443	4085
98	447	4073
99	451	4059
100	455	4051
101	459	4043
102	463	4032
103	465	4007
104	468	3992
105	474	3999
106	477	3988
107	481	3978
108	486	3979
109	491	3975
110	495	3969
111	502	3981
112	508	3989
113	514	3994
114	519	4000
115	523	3988
116	527	3978
117	531	3971
118	536	3969
119	540	3961
120	544	3954
121	550	3959
122	556	3970
123	562	3975
124	568	3981
125	572	3972
126	577	3967
127	583	3972
128	587	3964
129	591	3958
130	598	3968
131	603	3966
132	608	3963
133	615	3976
134	619	3972
135	624	3968
136	631	3977
137	635	3969
138	639	3959
139	642	3949
140	650	3962
141	654	3953
142	658	3943
143	665	3957
144	669	3947
145	673	3937
146	678	3936
147	683	3933
148	687	3924
149	690	3914
150	697	3922
151	701	3911
152	704	3899
153	709	3895
154	714	3895
155	718	3886
156	721	3875
157	728	3882
158	733	3879
159	737	3871
160	743	3873
161	747	3865
162	751	3856
163	757	3863
164	762	3860
165	766	3850
166	769	3838
167	776	3846
168	780	3838
169	784	3832
170	793	3847
171	797	3837
172	801	3830
173	808	3837
174	812	3829
175	816	3820
176	824	3832
177	827	3823
178	832	3816
179	839	3824
180	843	3816
181	847	3808
182	852	3806
183	857	3801
184	860	3792
185	865	3787
186	872	3791
187	876	3784
188	879	3775
189	886	3780
190	890	3772
191	894	3764
192	901	3767
193	905	3762
194	909	3754
195	913	3747
196	920	3753
197	924	3745
198	930	3747
199	935	3742
200	939	3733
201	942	3724
202	950	3731
203	954	3723
204	957	3714
205	968	3733
206	972	3724
207	976	3716
208	982	3719
209	987	3714
210	991	3705
211	1000	3719
212	1004	3710
213	1009	3706
214	1015	3708
215	1019	3699
216	1022	3690
217	1030	3695
218	1034	3689
219	1038	3681
220	1045	3684
221	1049	3678
222	1053	3669
223	1060	3673
224	1064	3665
225	1067	3656
226	1073	3656
227	1078	3652
228	1082	3644
229	1086	3637
230	1093	3640
231	1097	3633
232	1101	3626
233	1107	3626
234	1111	3619
235	1115	3610
236	1121	3610
237	1125	3604
238	1129	3595
239	1133	3587
240	1139	3588
241	1144	3583
242	1148	3579
243	1155	3580
244	1159	3572
245	1163	3565
246	1169	3565
247	1173	3558
248	1178	3554
249	1185	3555
250	1189	3548
251	1192	3540
252	1196	3533
253	1202	3530
254	1206	3526
255	1211	3521
256	1218	3522
257	1222	3514
258	1225	3507
259	1232	3507
260	1236	3501
261	1240	3493
262	1246	3492
263	1250	3487
264	1254	3480
265	1258	3472
266	1265	3475
267	1269	3467
268	1273	3460
269	1280	3463
270	1284	3456
271	1289	3450
272	1295	3449
273	1300	3444
274	1303	3437
275	1310	3437
276	1314	3432
277	1318	3425
278	1324	3423
279	1329	3418
280	1333	3411
281	1336	3403
282	1345	3407
283	1349	3401
284	1355	3401
285	1362	3400
286	1365	3392
287	1374	3397
288	1380	3395
289	1384	3388
290	1392	3392
291	1395	3384
292	1399	3376
293	1406	3377
294	1409	3369
295	1414	3363
296	1419	3359
297	1424	3354
298	1428	3348
299	1431	3339
300	1437	3337
301	1441	3331
302	1445	3324
303	1448	3316
304	1455	3315
305	1458	3307
306	1461	3299
307	1467	3296
308	1471	3290
309	1475	3283
310	1478	3275
311	1485	3274
312	1488	3267
313	1492	3261
314	1497	3256
315	1502	3253
316	1506	3246
317	1510	3238
318	1516	3238
319	1520	3231
320	1524	3224
321	1530	3222
322	1535	3217
323	1538	3210
324	1542	3203
325	1549	3203
326	1552	3195
327	1556	3189
328	1561	3183
329	1566	3179
330	1570	3173
331	1573	3165
332	1579	3163
333	1583	3157
334	1587	3150
335	1590	3143
336	1599	3146
337	1602	3139
338	1608	3137
339	1613	3132
340	1617	3126
341	1620	3118
342	1628	3118
343	1631	3111
344	1635	3105
345	1641	3101
346	1645	3096
347	1649	3090
348	1652	3083
349	1660	3082
350	1663	3075
351	1667	3069
352	1673	3066
353	1677	3061
354	1681	3054
355	1684	3047
356	1691	3046
357	1694	3039
358	1698	3032
359	1701	3025
360	1708	3024
361	1712	3017
362	1715	3010
363	1724	3012
364	1728	3007
365	1737	3009
366	1741	3003
367	1745	2997
368	1748	2989
369	1754	2987
370	1758	2980
371	1761	2974
372	1765	2967
373	1771	2964
374	1775	2959
375	1778	2951
376	1785	2951
377	1789	2944
378	1793	2938
379	1797	2933
380	1803	2930
381	1807	2924
382	1811	2917
383	1819	2918
384	1822	2911
385	1826	2905
386	1833	2903
387	1836	2897
388	1840	2891
389	1845	2887
390	1852	2884
391	1855	2878
392	1858	2870
393	1865	2869
394	1869	2863
395	1873	2857
396	1878	2853
397	1883	2848
398	1887	2842
399	1890	2835
400	1897	2834
401	1901	2827
402	1904	2821
403	1909	2816
404	1914	2812
405	1918	2807
406	1922	2800
407	1929	2799
408	1933	2793
409	1937	2787
410	1943	2785
411	1947	2779
412	1951	2773
413	1954	2766
414	1961	2765
415	1965	2759
416	1969	2752
417	1978	2754
418	1982	2748
419	1985	2742
420	1992	2740
421	1996	2734
422	1999	2727
423	2002	2720
424	2011	2721
425	2015	2716
426	2020	2711
427	2026	2708
428	2030	2702
429	2034	2696
430	2041	2694
431	2044	2688
432	2049	2683
433	2056	2682
434	2060	2676
435	2064	2670
436	2068	2665
437	2073	2661
438	2077	2654
439	2081	2648
440	2088	2646
441	2091	2641
442	2095	2635
443	2100	2630
444	2106	2626
445	2110	2621
446	2113	2615
447	2121	2613
448	2124	2607
449	2128	2601
450	2134	2598
451	2138	2593
452	2142	2587
453	2146	2581
454	2152	2578
455	2155	2571
456	2159	2565
457	2165	2562
458	2169	2556
459	2173	2551
460	2181	2550
461	2186	2545
462	2190	2540
463	2196	2536
464	2199	2530
465	2204	2526
466	2211	2524
467	2215	2518
468	2219	2513
469	2227	2511
470	2231	2506
471	2235	2500
472	2239	2495
473	2250	2497
474	2256	2493
475	2260	2488
476	2266	2484
477	2270	2479
478	2279	2478
479	2282	2473
480	2286	2467
481	2294	2465
482	2298	2460
483	2302	2454
484	2310	2452
485	2313	2446
486	2317	2441
487	2324	2438
488	2328	2433
489	2331	2426
490	2335	2420
491	2342	2418
492	2345	2412
493	2349	2406
494	2358	2405
495	2362	2400
496	2367	2395
497	2373	2392
498	2379	2389
499	2383	2383
500	2391	2381
501	2395	2376
502	2398	2369
503	2404	2366
504	2407	2359
505	2410	2353
506	2414	2347
507	2420	2344
508	2424	2338
509	2428	2332
510	2432	2327
511	2437	2323
512	2441	2318
513	2450	2316
514	2453	2310
515	2457	2305
516	2464	2302
517	2468	2297
518	2471	2290
519	2476	2286
520	2481	2281
521	2484	2275
522	2489	2270
523	2496	2267
524	2499	2261
525	2503	2255
526	2511	2253
527	2515	2248
528	2518	2242
529	2522	2237
530	2528	2233
531	2532	2227
532	2535	2221
533	2545	2221
534	2548	2215
535	2552	2209
536	2560	2207
537	2564	2201
538	2567	2196
539	2574	2193
540	2578	2187
541	2581	2181
542	2585	2175
543	2592	2173
544	2596	2167
545	2599	2161
546	2606	2158
547	2610	2152
548	2613	2147
549	2617	2141
550	2624	2138
551	2628	2133
552	2632	2127
553	2640	2125
554	2644	2119
555	2648	2114
556	2655	2112
557	2659	2106
558	2662	2100
559	2669	2097
560	2673	2092
561	2677	2086
562	2680	2080
563	2687	2077
564	2691	2072
565	2694	2066
566	2702	2063
567	2706	2058
568	2709	2052
569	2714	2047
570	2719	2043
571	2723	2038
572	2729	2033
573	2734	2029
574	2738	2023
575	2741	2018
576	2747	2014
577	2752	2009
578	2757	2004
579	2761	1999
580	2767	1995
581	2770	1990
582	2774	1984
583	2782	1981
584	2786	1976
585	2789	1970
586	2796	1967
587	2800	1962
588	2804	1956
589	2810	1952
590	2815	1948
591	2819	1943
592	2823	1937
593	2829	1933
594	2832	1928
595	2837	1923
596	2844	1920
597	2848	1914
598	2852	1909
599	2860	1906
600	2863	1901
601	2867	1895
602	2875	1893
603	2879	1887
604	2883	1882
605	2891	1879
606	2895	1874
607	2899	1869
608	2903	1864
609	2909	1859
610	2912	1854
